created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2019-01-27T18:46:57+00:00,162,,,23.3,46.5,,,,
2019-01-27T18:51:27+00:00,163,13.9,20.9,,,,,,
2019-01-27T18:51:58+00:00,164,,,23.4,46.3,,,,
2019-01-27T18:56:27+00:00,165,13.4,22.8,,,,,,
2019-01-27T18:56:58+00:00,166,,,23.4,46.4,,,,
2019-01-27T19:01:27+00:00,167,13.6,22,,,,,,
2019-01-27T19:01:58+00:00,168,,,23.4,46.3,,,,
2019-01-27T19:06:27+00:00,169,13.7,21.5,,,,,,
2019-01-27T19:06:58+00:00,170,,,23.3,46.1,,,,
2019-01-27T19:11:57+00:00,171,,,23.5,46.4,,,,
2019-01-27T19:16:27+00:00,172,13.1,22.2,,,,,,
2019-01-27T19:16:57+00:00,173,,,23.4,46.9,,,,
2019-01-27T19:21:58+00:00,174,,,23.5,47.2,,,,
2019-01-27T19:26:28+00:00,175,13.1,21.8,,,,,,
2019-01-27T19:26:58+00:00,176,,,23.4,47.2,,,,
2019-01-27T19:31:28+00:00,177,12.3,19.9,,,,,,
2019-01-27T19:31:58+00:00,178,,,23.4,46.8,,,,
2019-01-27T19:36:28+00:00,179,12.9,20.4,,,,,,
2019-01-27T19:36:58+00:00,180,,,23.5,46.8,,,,
2019-01-27T19:41:28+00:00,181,12.7,19,,,,,,
2019-01-27T19:41:58+00:00,182,,,23.6,46.8,,,,
2019-01-27T19:46:58+00:00,183,,,23.4,47,,,,
2019-01-27T19:51:58+00:00,184,,,23.6,47.4,,,,
2019-01-27T19:56:58+00:00,185,,,23.5,47.5,,,,
2019-01-27T20:01:58+00:00,186,,,23.5,46.5,,,,
2019-01-27T20:06:28+00:00,187,13.6,21.9,,,,,,
2019-01-27T20:06:58+00:00,188,,,23.5,47,,,,
2019-01-27T20:11:28+00:00,189,13.5,20.8,,,,,,
2019-01-27T20:11:58+00:00,190,,,23.5,46.6,,,,
2023-08-17T11:21:34+00:00,191,6,7.8,,,,,,
2023-08-17T11:22:05+00:00,192,,,25.8,55.9,,,,
